127.0.0.1 - - [22/Feb/2018:14:18:53 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/ HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/css/style.css HTTP/1.1" 200 8239
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/js/cufon-yui.js HTTP/1.1" 200 18257
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/js/jquery-1.4.2.min.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/css/coin-slider.css HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/js/script.js HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/js/cufon-ptsans.js HTTP/1.1" 200 377428
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/js/coin-slider.min.js HTTP/1.1" 200 8443
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/images/main_bg.gif HTTP/1.1" 200 4065
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/images/menu_bg.gif HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/images/content_bg.gif HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/images/infopost.gif HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:03 +0530] "GET /ATTRIBUTE/images/footer_bg.gif HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/DataOwner.html HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/css/coin-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/js/cufon-ptsans.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/js/coin-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/images/main_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/images/menu_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:14 +0530] "GET /ATTRIBUTE/images/content_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "POST /ATTRIBUTE/ownerauth.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/DataOwnerLogin.html HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/css/coin-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/js/cufon-ptsans.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/js/coin-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/images/menu_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/images/content_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/images/main_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:22 +0530] "GET /ATTRIBUTE/images/infopost.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:25 +0530] "GET /ATTRIBUTE/ViewOwnerFiles.jsp HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/index.html HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/css/coin-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/js/cufon-ptsans.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/js/coin-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/images/main_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/images/menu_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/images/content_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/images/infopost.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:33 +0530] "GET /ATTRIBUTE/images/footer_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:35 +0530] "GET /ATTRIBUTE/EndUser.html HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:40 +0530] "POST /ATTRIBUTE/enduserauth.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:40 +0530] "GET /ATTRIBUTE/EndUserMain.html HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:42 +0530] "GET /ATTRIBUTE/SecretKey.jsp HTTP/1.1" 200 3526
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:19:42 +0530] "GET /ATTRIBUTE/css/style.css HTTP/1.1" 304 -
